City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Quincy,Norfolk,"101,531",3461,731,51.4,Red,Lower,106322,13991,832,5.95%,Lower,13780.05,2020-12-24,2020-12-06,2020-12-19
Randolph,Norfolk,"34,438",2075,325,67.4,Red,Lower,40137,4876,375,7.69%,Lower,14158.83,2020-12-24,2020-12-06,2020-12-19
Raynham,Bristol,"15,123",670,173,81.7,Red,Higher,14547,1961,198,10.10%,Higher,12967.00,2020-12-24,2020-12-06,2020-12-19
Reading,Middlesex,"27,680",888,219,56.5,Red,Higher,29805,4200,238,5.67%,Higher,15173.38,2020-12-24,2020-12-06,2020-12-19
Rehoboth,Bristol,"12,713",461,113,63.5,Red,Lower,8919,1168,132,11.30%,Lower,9187.73,2020-12-24,2020-12-06,2020-12-19
Revere,Suffolk,"60,849",6188,1151,135.1,Red,Lower,88762,12139,1484,12.23%,Higher,19949.38,2020-12-24,2020-12-06,2020-12-19
Richmond,Berkshire,"1,305",19,<5,5.5,Grey,Lower,1071,134,1,0.75%,Lower,10269.85,2020-12-24,2020-12-06,2020-12-19
Rochester,Plymouth,"5,676",176,50,62.9,Red,Lower,4441,555,58,10.45%,No Change,9778.64,2020-12-24,2020-12-06,2020-12-19
Rockland,Plymouth,"18,091",805,193,76.2,Red,Higher,15745,2546,210,8.25%,Higher,14073.07,2020-12-24,2020-12-06,2020-12-19
Rockport,Essex,"6,462",144,20,22.1,Yellow,Higher,5467,637,20,3.14%,Higher,9857.89,2020-12-24,2020-12-06,2020-12-19
Rowe,Franklin,336,5,0,0.0,Grey,Lower,295,28,0,0.00%,Lower,8336.85,2020-12-24,2020-12-06,2020-12-19
Rowley,Essex,"6,180",181,46,53.2,Red,No Change,6018,716,55,7.68%,Higher,11586.10,2020-12-24,2020-12-06,2020-12-19
Royalston,Worcester,"1,274",21,12,67.3,Green,Higher,1038,148,12,8.11%,Higher,11618.41,2020-12-24,2020-12-06,2020-12-19
Russell,Hampden,"1,895",49,7,26.4,Grey,No Change,1345,148,7,4.73%,No Change,7811.23,2020-12-24,2020-12-06,2020-12-19
Rutland,Worcester,"9,116",249,56,43.9,Red,Lower,9043,1065,67,6.29%,Lower,11682.48,2020-12-24,2020-12-06,2020-12-19
Salem,Essex,"45,021",2433,551,87.4,Red,Lower,69969,10444,685,6.56%,Higher,23197.99,2020-12-24,2020-12-06,2020-12-19
Salisbury,Essex,"8,853",299,86,69.4,Red,Higher,7268,927,93,10.03%,Higher,10470.79,2020-12-24,2020-12-06,2020-12-19
Sandisfield,Berkshire,932,16,<5,30.7,Grey,No Change,1030,130,4,3.08%,Higher,13953.84,2020-12-24,2020-12-06,2020-12-19
Sandwich,Barnstable,"21,078",274,59,20.0,Yellow,Lower,14873,1586,61,3.85%,Higher,7524.45,2020-12-24,2020-12-06,2020-12-19
Saugus,Essex,"28,486",2089,474,118.9,Red,Lower,37722,5573,587,10.53%,Lower,19563.78,2020-12-24,2020-12-06,2020-12-19
Savoy,Berkshire,620,<5,0,0.0,Grey,No Change,431,49,0,0.00%,No Change,7898.08,2020-12-24,2020-12-06,2020-12-19
Scituate,Plymouth,"18,099",446,59,23.3,Yellow,Lower,16336,1899,63,3.32%,No Change,10492.15,2020-12-24,2020-12-06,2020-12-19
Seekonk,Bristol,"14,013",636,114,58.1,Red,Lower,10196,1278,131,10.25%,Lower,9119.97,2020-12-24,2020-12-06,2020-12-19
Sharon,Norfolk,"18,280",390,62,24.2,Yellow,Lower,18731,2024,73,3.61%,Higher,11072.37,2020-12-24,2020-12-06,2020-12-19
Sheffield,Berkshire,"3,054",45,<5,7.0,Grey,Lower,6991,461,3,0.65%,Lower,15094.53,2020-12-24,2020-12-06,2020-12-19
Shelburne,Franklin,"1,831",20,<5,3.9,Grey,Lower,3176,389,2,0.51%,Lower,21248.90,2020-12-24,2020-12-06,2020-12-19
Sherborn,Middlesex,"3,774",76,23,43.5,Yellow,Lower,4476,517,24,4.64%,No Change,13700.62,2020-12-24,2020-12-06,2020-12-19
Shirley,Middlesex,"8,526",574,73,61.2,Red,Lower,8276,743,79,10.63%,Lower,8714.84,2020-12-24,2020-12-06,2020-12-19
Shrewsbury,Worcester,"39,497",1337,362,65.5,Red,No Change,42530,5202,391,7.52%,Lower,13170.75,2020-12-24,2020-12-06,2020-12-19
Shutesbury,Franklin,"1,742",17,7,28.7,Grey,Lower,1982,194,7,3.61%,Lower,11134.17,2020-12-24,2020-12-06,2020-12-19
Somerset,Bristol,"18,521",1000,223,86.0,Red,Higher,18249,2193,256,11.67%,Higher,11840.54,2020-12-24,2020-12-06,2020-12-19
Somerville,Middlesex,"75,646",2936,516,48.7,Yellow,Higher,253105,29619,595,2.01%,Higher,39154.59,2020-12-24,2020-12-06,2020-12-19
South Hadley,Hampshire,"18,076",469,94,37.1,Yellow,Higher,23478,2426,113,4.66%,Higher,13420.83,2020-12-24,2020-12-06,2020-12-19
Southampton,Hampshire,"6,018",141,39,46.3,Red,Lower,5712,752,42,5.59%,Lower,12495.86,2020-12-24,2020-12-06,2020-12-19
Southborough,Worcester,"9,670",231,59,43.6,Red,Higher,16027,1417,63,4.45%,Higher,14653.27,2020-12-24,2020-12-06,2020-12-19
Southbridge,Worcester,"16,770",831,199,84.8,Red,Lower,15541,1887,245,12.98%,Lower,11252.27,2020-12-24,2020-12-06,2020-12-19
Southwick,Hampden,"9,800",251,36,26.2,Red,Lower,7530,726,40,5.51%,Lower,7408.27,2020-12-24,2020-12-06,2020-12-19
Spencer,Worcester,"11,470",363,93,57.9,Red,Higher,10784,1265,102,8.06%,Lower,11028.78,2020-12-24,2020-12-06,2020-12-19
Springfield,Hampden,"156,245",10159,1837,84.0,Red,Lower,181987,20983,2310,11.01%,Higher,13429.58,2020-12-24,2020-12-06,2020-12-19
Sterling,Worcester,"7,859",350,54,49.1,Red,Lower,10100,1007,58,5.76%,Lower,12813.16,2020-12-24,2020-12-06,2020-12-19
Stockbridge,Berkshire,"1,706",27,<5,8.4,Grey,Lower,2139,360,2,0.56%,Lower,21099.63,2020-12-24,2020-12-06,2020-12-19
Stoneham,Middlesex,"22,264",1140,269,86.3,Red,Higher,31502,4761,313,6.57%,Higher,21384.43,2020-12-24,2020-12-06,2020-12-19
Stoughton,Norfolk,"27,679",1353,244,63.0,Red,Higher,28333,3425,282,8.23%,Higher,12373.85,2020-12-24,2020-12-06,2020-12-19
Stow,Middlesex,"7,245",119,18,17.7,Yellow,Lower,7229,719,24,3.34%,Higher,9923.91,2020-12-24,2020-12-06,2020-12-19
Sturbridge,Worcester,"10,569",235,63,42.6,Red,Higher,8049,919,69,7.51%,Higher,8695.23,2020-12-24,2020-12-06,2020-12-19
Sudbury,Middlesex,"17,810",376,48,19.3,Yellow,No Change,20041,2344,53,2.26%,No Change,13161.29,2020-12-24,2020-12-06,2020-12-19
Sunderland,Franklin,"3,721",79,15,28.8,Green,Lower,12934,847,18,2.13%,Lower,22763.47,2020-12-24,2020-12-06,2020-12-19
Sutton,Worcester,"8,954",317,66,52.6,Red,Lower,8577,945,72,7.62%,Lower,10553.48,2020-12-24,2020-12-06,2020-12-19
Swampscott,Essex,"13,616",513,141,74.0,Red,Higher,21431,3539,186,5.26%,Higher,25990.70,2020-12-24,2020-12-06,2020-12-19
Swansea,Bristol,"15,949",824,158,70.8,Red,Lower,15252,1979,185,9.35%,Lower,12408.22,2020-12-24,2020-12-06,2020-12-19
Taunton,Bristol,"57,573",2832,638,79.2,Red,Higher,59222,7922,734,9.27%,Higher,13759.86,2020-12-24,2020-12-06,2020-12-19
Templeton,Worcester,"9,020",261,41,32.5,Red,Higher,8101,1321,49,3.71%,Higher,14645.88,2020-12-24,2020-12-06,2020-12-19
Tewksbury,Middlesex,"30,826",1714,363,84.1,Red,Lower,42818,5640,400,7.09%,Lower,18296.45,2020-12-24,2020-12-06,2020-12-19
Tisbury,Dukes,"4,174",139,32,54.8,Red,Higher,9570,1016,34,3.35%,Higher,24340.61,2020-12-24,2020-12-06,2020-12-19
Tolland,Hampden,414,5,<5,17.2,Grey,No Change,134,12,1,8.33%,Higher,2895.27,2020-12-24,2020-12-06,2020-12-19
Topsfield,Essex,"5,778",242,52,64.3,Red,Higher,8341,954,58,6.08%,Higher,16511.73,2020-12-24,2020-12-06,2020-12-19
Townsend,Middlesex,"9,114",185,39,30.6,Red,Lower,7093,706,44,6.23%,Higher,7746.50,2020-12-24,2020-12-06,2020-12-19
Truro,Barnstable,"1,968",18,<5,3.6,Grey,Lower,1283,119,1,0.84%,Lower,6046.35,2020-12-24,2020-12-06,2020-12-19
Tyngsborough,Middlesex,"11,979",593,144,85.9,Red,Lower,11127,1425,167,11.72%,Lower,11895.73,2020-12-24,2020-12-06,2020-12-19
Tyringham,Berkshire,242,<5,0,0.0,Grey,No Change,238,22,0,0.00%,No Change,9106.34,2020-12-24,2020-12-06,2020-12-19
Unknown town,Unknown,0,928,196,*,,*,188056,18219,206,*,*,*,2020-12-24,2020-12-06,2020-12-19
Upton,Worcester,"9,203",132,22,17.1,Yellow,Higher,6324,666,24,3.60%,Higher,7236.61,2020-12-24,2020-12-06,2020-12-19
Uxbridge,Worcester,"15,611",428,98,44.8,Red,Higher,11666,1218,105,8.62%,Higher,7802.02,2020-12-24,2020-12-06,2020-12-19
Wakefield,Middlesex,"27,113",1077,253,66.7,Red,Higher,34795,5142,316,6.15%,No Change,18964.77,2020-12-24,2020-12-06,2020-12-19
Wales,Hampden,"1,911",30,6,22.4,Grey,Lower,1138,122,7,5.74%,Lower,6384.08,2020-12-24,2020-12-06,2020-12-19
Walpole,Norfolk,"26,055",811,182,49.9,Red,Higher,27371,3217,206,6.40%,Higher,12346.87,2020-12-24,2020-12-06,2020-12-19
Waltham,Middlesex,"66,447",2874,441,47.4,Red,Higher,157912,10202,490,4.80%,Higher,15353.56,2020-12-24,2020-12-06,2020-12-19
Ware,Hampshire,"10,160",184,43,30.2,Yellow,Higher,8967,997,48,4.81%,Higher,9812.62,2020-12-24,2020-12-06,2020-12-19
Wareham,Plymouth,"24,185",717,177,52.3,Red,Lower,16859,2720,198,7.28%,Lower,11246.57,2020-12-24,2020-12-06,2020-12-19
Warren,Worcester,"5,442",69,12,15.7,Green,No Change,3224,329,17,5.17%,Higher,6045.21,2020-12-24,2020-12-06,2020-12-19
Warwick,Franklin,734,<5,<5,9.7,Grey,No Change,507,54,1,1.85%,Lower,7357.53,2020-12-24,2020-12-06,2020-12-19
Washington,Berkshire,445,<5,0,0.0,Grey,Lower,289,26,0,0.00%,Lower,5840.74,2020-12-24,2020-12-06,2020-12-19
Watertown,Middlesex,"33,037",1144,236,51.0,Yellow,Lower,48791,6102,287,4.70%,Higher,18470.34,2020-12-24,2020-12-06,2020-12-19
Wayland,Middlesex,"13,218",265,49,26.5,Yellow,Higher,16834,2066,58,2.81%,Higher,15630.72,2020-12-24,2020-12-06,2020-12-19
Webster,Worcester,"17,181",808,191,79.4,Red,Higher,20107,2375,212,8.93%,Higher,13823.49,2020-12-24,2020-12-06,2020-12-19
