City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Avon,Norfolk,"4,376",267,49,80.0,Red,Higher,4774,428,56,13.08%,Higher,9780.19,2021-01-07,2020-12-20,2021-01-02
Ayer,Middlesex,"8,098",537,195,172.0,Red,Higher,12661,1175,200,17.02%,Higher,14509.36,2021-01-07,2020-12-20,2021-01-02
Barnstable,Barnstable,"44,773",1890,352,56.2,Red,Higher,41076,4498,377,8.38%,Higher,10046.34,2021-01-07,2020-12-20,2021-01-02
Barre,Worcester,"5,560",162,26,33.4,Red,Higher,4750,379,28,7.39%,Higher,6816.39,2021-01-07,2020-12-20,2021-01-02
Becket,Berkshire,"1,795",35,6,23.9,Grey,Lower,1550,178,7,3.93%,Lower,9914.24,2021-01-07,2020-12-20,2021-01-02
Bedford,Middlesex,"14,995",526,70,33.3,Yellow,Higher,23377,2182,81,3.71%,Higher,14551.81,2021-01-07,2020-12-20,2021-01-02
Belchertown,Hampshire,"16,054",447,105,46.7,Red,Higher,19499,1704,119,6.98%,Higher,10613.94,2021-01-07,2020-12-20,2021-01-02
Bellingham,Norfolk,"18,017",636,110,43.6,Red,Lower,14233,1149,120,10.44%,No Change,6377.27,2021-01-07,2020-12-20,2021-01-02
Belmont,Middlesex,"27,409",708,129,33.6,Yellow,Higher,38606,3363,146,4.34%,Higher,12269.88,2021-01-07,2020-12-20,2021-01-02
Berkley,Bristol,"6,815",393,84,88.0,Red,Higher,6690,607,87,14.33%,Higher,8906.73,2021-01-07,2020-12-20,2021-01-02
Berlin,Worcester,"3,227",100,19,42.1,Yellow,Higher,3543,276,21,7.61%,Higher,8552.28,2021-01-07,2020-12-20,2021-01-02
Bernardston,Franklin,"2,073",30,<5,6.9,Grey,No Change,2364,195,4,2.05%,Higher,9408.72,2021-01-07,2020-12-20,2021-01-02
Beverly,Essex,"41,071",2101,402,69.9,Red,Higher,87380,6621,464,7.01%,Higher,16120.90,2021-01-07,2020-12-20,2021-01-02
Billerica,Middlesex,"43,673",2302,446,72.9,Red,Lower,46940,4639,483,10.41%,Higher,10622.22,2021-01-07,2020-12-20,2021-01-02
Blackstone,Worcester,"9,026",330,50,39.6,Red,Lower,7609,607,54,8.90%,Lower,6725.04,2021-01-07,2020-12-20,2021-01-02
Blandford,Hampden,"1,209",30,6,35.4,Grey,Higher,861,76,6,7.89%,Higher,6286.32,2021-01-07,2020-12-20,2021-01-02
Bolton,Worcester,"5,055",97,26,36.7,Red,Higher,6218,584,26,4.45%,Higher,11552.36,2021-01-07,2020-12-20,2021-01-02
Boston,Suffolk,"692,958",42565,5567,57.4,Red,Higher,1931261,107702,6401,5.94%,Higher,15542.35,2021-01-07,2020-12-20,2021-01-02
Bourne,Barnstable,"21,026",620,118,40.1,Red,Higher,22423,2170,132,6.08%,Higher,10320.79,2021-01-07,2020-12-20,2021-01-02
Boxborough,Middlesex,"5,073",107,21,29.6,Yellow,Higher,5101,450,21,4.67%,Higher,8870.29,2021-01-07,2020-12-20,2021-01-02
Boxford,Essex,"7,640",306,61,57.0,Red,Lower,9930,874,68,7.78%,Higher,11439.07,2021-01-07,2020-12-20,2021-01-02
Boylston,Worcester,"4,489",173,35,55.7,Red,Lower,5438,497,37,7.44%,Higher,11070.55,2021-01-07,2020-12-20,2021-01-02
Braintree,Norfolk,"39,657",2387,395,71.1,Red,Higher,54331,5717,441,7.71%,No Change,14415.99,2021-01-07,2020-12-20,2021-01-02
Brewster,Barnstable,"9,926",215,26,18.7,Red,Higher,9599,1133,31,2.74%,Higher,11413.93,2021-01-07,2020-12-20,2021-01-02
Bridgewater,Plymouth,"28,615",1498,347,86.6,Red,Lower,40436,2899,383,13.21%,Higher,10130.90,2021-01-07,2020-12-20,2021-01-02
Brimfield,Hampden,"3,727",106,24,46.0,Yellow,Higher,3157,322,29,9.01%,Higher,8639.11,2021-01-07,2020-12-20,2021-01-02
Brockton,Plymouth,"99,226",9015,949,68.3,Red,Higher,121129,9339,1107,11.85%,Higher,9411.81,2021-01-07,2020-12-20,2021-01-02
Brookfield,Worcester,"3,688",127,24,46.5,Yellow,Lower,3168,326,25,7.67%,Lower,8838.60,2021-01-07,2020-12-20,2021-01-02
Brookline,Norfolk,"64,727",1314,230,25.4,Yellow,Higher,119030,8806,281,3.19%,Higher,13604.75,2021-01-07,2020-12-20,2021-01-02
Buckland,Franklin,"1,838",25,0,0.0,Grey,Lower,246,17,0,0.00%,Lower,924.88,2021-01-07,2020-12-20,2021-01-02
Burlington,Middlesex,"27,819",1124,226,58.0,Red,Higher,29317,3151,242,7.68%,Higher,11326.87,2021-01-07,2020-12-20,2021-01-02
Cambridge,Middlesex,"111,989",3083,420,26.8,Yellow,Higher,451671,27189,488,1.79%,Higher,24278.27,2021-01-07,2020-12-20,2021-01-02
Canton,Norfolk,"23,173",961,176,54.3,Red,Higher,32715,3146,195,6.20%,Higher,13576.21,2021-01-07,2020-12-20,2021-01-02
Carlisle,Middlesex,"4,723",102,19,28.7,Yellow,Lower,5264,599,20,3.34%,Lower,12682.61,2021-01-07,2020-12-20,2021-01-02
Carver,Plymouth,"12,248",345,86,50.2,Red,Higher,8947,792,93,11.74%,Higher,6466.19,2021-01-07,2020-12-20,2021-01-02
Charlemont,Franklin,"1,174",6,<5,6.1,Grey,Higher,1147,76,1,1.32%,Higher,6472.51,2021-01-07,2020-12-20,2021-01-02
Charlton,Worcester,"14,164",569,125,63.0,Red,Higher,16707,1542,138,8.95%,Higher,10887.01,2021-01-07,2020-12-20,2021-01-02
Chatham,Barnstable,"5,830",112,36,44.1,Red,Higher,5412,599,45,7.51%,Higher,10275.26,2021-01-07,2020-12-20,2021-01-02
Chelmsford,Middlesex,"35,973",1689,254,50.4,Red,Lower,40716,3317,281,8.47%,No Change,9220.74,2021-01-07,2020-12-20,2021-01-02
Chelsea,Suffolk,"36,918",6527,587,113.6,Red,Lower,77811,6407,708,11.05%,Higher,17354.52,2021-01-07,2020-12-20,2021-01-02
Cheshire,Berkshire,"2,936",58,32,77.8,Red,Higher,2926,340,34,10.00%,Higher,11579.91,2021-01-07,2020-12-20,2021-01-02
Chester,Hampden,"1,358",21,5,26.3,Grey,Higher,828,71,5,7.04%,Higher,5229.32,2021-01-07,2020-12-20,2021-01-02
Chesterfield,Hampshire,"1,224",21,<5,11.7,Grey,Lower,916,88,2,2.27%,Lower,7191.64,2021-01-07,2020-12-20,2021-01-02
Chicopee,Hampden,"56,710",3034,538,67.8,Red,Higher,62212,6292,672,10.68%,Higher,11094.99,2021-01-07,2020-12-20,2021-01-02
Chilmark,Dukes,759,9,<5,28.2,Grey,Higher,2693,190,3,1.58%,Higher,25045.62,2021-01-07,2020-12-20,2021-01-02
Clarksburg,Berkshire,"1,673",27,<5,17.1,Grey,Higher,1100,100,5,5.00%,Higher,5975.51,2021-01-07,2020-12-20,2021-01-02
Clinton,Worcester,"14,080",953,180,91.3,Red,Higher,15219,1381,201,14.55%,Higher,9808.51,2021-01-07,2020-12-20,2021-01-02
Cohasset,Norfolk,"7,355",188,39,37.9,Red,Lower,8540,1060,46,4.34%,Lower,14412.08,2021-01-07,2020-12-20,2021-01-02
Colrain,Franklin,"1,582",17,<5,13.5,Grey,Lower,1393,100,3,3.00%,Lower,6319.42,2021-01-07,2020-12-20,2021-01-02
Concord,Middlesex,"18,731",704,65,24.8,Yellow,Higher,29352,2631,73,2.77%,Higher,14046.26,2021-01-07,2020-12-20,2021-01-02
Conway,Franklin,"1,932",16,5,18.5,Grey,No Change,1792,130,5,3.85%,Higher,6730.08,2021-01-07,2020-12-20,2021-01-02
Cummington,Hampshire,784,15,<5,36.4,Grey,Higher,1046,84,4,4.76%,Higher,10713.31,2021-01-07,2020-12-20,2021-01-02
Dalton,Berkshire,"6,466",136,23,25.4,Yellow,Higher,7331,1110,26,2.34%,Higher,17166.68,2021-01-07,2020-12-20,2021-01-02
Danvers,Essex,"28,667",1997,296,73.8,Red,Lower,43194,4838,333,6.88%,Higher,16876.62,2021-01-07,2020-12-20,2021-01-02
Dartmouth,Bristol,"37,104",2166,458,88.2,Red,Higher,44081,3759,498,13.25%,Higher,10130.88,2021-01-07,2020-12-20,2021-01-02
Dedham,Norfolk,"27,392",1242,182,47.5,Red,Lower,38972,3412,203,5.95%,Higher,12456.42,2021-01-07,2020-12-20,2021-01-02
Deerfield,Franklin,"5,308",95,12,16.1,Green,Lower,16451,641,17,2.65%,Lower,12076.37,2021-01-07,2020-12-20,2021-01-02
Dennis,Barnstable,"13,088",335,86,46.9,Red,Higher,10607,1098,93,8.47%,Higher,8389.55,2021-01-07,2020-12-20,2021-01-02
Dighton,Bristol,"7,927",412,79,71.2,Red,Lower,7444,634,84,13.25%,Higher,7997.72,2021-01-07,2020-12-20,2021-01-02
Douglas,Worcester,"9,486",281,43,32.4,Red,Higher,7505,629,46,7.31%,Higher,6630.84,2021-01-07,2020-12-20,2021-01-02
Dover,Norfolk,"5,134",129,23,32.0,Yellow,Lower,7593,719,25,3.48%,Lower,14005.16,2021-01-07,2020-12-20,2021-01-02
Dracut,Middlesex,"32,415",2255,321,70.7,Red,Lower,37803,3254,356,10.94%,Lower,10038.71,2021-01-07,2020-12-20,2021-01-02
Dudley,Worcester,"12,470",501,95,54.4,Red,Lower,27632,1009,106,10.51%,Lower,8091.62,2021-01-07,2020-12-20,2021-01-02
Dunstable,Middlesex,"3,330",88,17,36.5,Yellow,Higher,2820,260,20,7.69%,Higher,7807.20,2021-01-07,2020-12-20,2021-01-02
Duxbury,Plymouth,"15,120",460,93,43.9,Red,Higher,16886,1717,100,5.82%,Higher,11355.53,2021-01-07,2020-12-20,2021-01-02
East Bridgewater,Plymouth,"14,879",649,100,48.0,Red,Lower,13125,1205,122,10.12%,Lower,8098.90,2021-01-07,2020-12-20,2021-01-02
East Brookfield,Worcester,"2,244",87,33,105.0,Red,Higher,1906,221,34,15.38%,Higher,9847.35,2021-01-07,2020-12-20,2021-01-02
East Longmeadow,Hampden,"17,005",931,134,56.3,Red,Lower,22148,2215,157,7.09%,Higher,13025.24,2021-01-07,2020-12-20,2021-01-02
Eastham,Barnstable,"4,603",52,6,9.3,Grey,Higher,2959,240,6,2.50%,Higher,5214.43,2021-01-07,2020-12-20,2021-01-02
Easthampton,Hampshire,"16,194",490,96,42.3,Red,Higher,31153,2021,108,5.34%,Higher,12479.79,2021-01-07,2020-12-20,2021-01-02
Easton,Bristol,"23,741",1023,200,60.2,Red,Higher,55188,2591,221,8.53%,Higher,10913.58,2021-01-07,2020-12-20,2021-01-02
Edgartown,Dukes,"4,086",159,20,35.0,Yellow,Higher,8229,578,21,3.63%,Higher,14145.26,2021-01-07,2020-12-20,2021-01-02
Egremont,Berkshire,"1,074",10,0,0.0,Grey,No Change,846,53,0,0.00%,No Change,4936.86,2021-01-07,2020-12-20,2021-01-02
Erving,Franklin,"2,113",31,<5,6.8,Grey,Lower,1866,125,3,2.40%,Lower,5916.63,2021-01-07,2020-12-20,2021-01-02
Essex,Essex,"3,728",90,19,36.4,Yellow,No Change,3203,409,23,5.62%,Higher,10971.28,2021-01-07,2020-12-20,2021-01-02
Everett,Middlesex,"48,552",5661,667,98.1,Red,Lower,71726,6186,799,12.92%,Higher,12741.00,2021-01-07,2020-12-20,2021-01-02
Fairhaven,Bristol,"16,013",1129,201,89.7,Red,Higher,23307,2387,236,9.89%,Higher,14906.88,2021-01-07,2020-12-20,2021-01-02
Fall River,Bristol,"89,317",8629,1407,112.5,Red,Higher,115067,10848,1622,14.95%,Higher,12145.49,2021-01-07,2020-12-20,2021-01-02
Falmouth,Barnstable,"31,190",741,111,25.4,Yellow,Lower,36677,3063,129,4.21%,No Change,9820.35,2021-01-07,2020-12-20,2021-01-02
Fitchburg,Worcester,"42,123",2997,458,77.7,Red,Lower,48318,4701,526,11.19%,Lower,11160.11,2021-01-07,2020-12-20,2021-01-02
Florida,Berkshire,784,5,<5,9.1,Grey,Higher,414,33,1,3.03%,Higher,4209.65,2021-01-07,2020-12-20,2021-01-02
Foxborough,Norfolk,"18,209",666,127,49.8,Red,Higher,32475,2376,138,5.81%,Higher,13048.16,2021-01-07,2020-12-20,2021-01-02
Framingham,Middlesex,"74,398",5295,586,56.3,Red,Lower,99473,8961,682,7.61%,Higher,12044.72,2021-01-07,2020-12-20,2021-01-02
Franklin,Norfolk,"33,920",925,167,35.2,Red,Lower,30939,2676,189,7.06%,Lower,7889.14,2021-01-07,2020-12-20,2021-01-02
Freetown,Bristol,"9,049",526,105,82.9,Red,Lower,8889,814,116,14.25%,Higher,8995.29,2021-01-07,2020-12-20,2021-01-02
Gardner,Worcester,"19,874",1264,321,115.4,Red,Higher,24352,1939,348,17.95%,Higher,9756.64,2021-01-07,2020-12-20,2021-01-02
Georgetown,Essex,"8,986",307,54,42.9,Red,Higher,8859,874,62,7.09%,Higher,9726.48,2021-01-07,2020-12-20,2021-01-02
Gill,Franklin,"1,672",18,<5,8.5,Grey,Lower,2933,90,3,3.33%,Higher,5383.94,2021-01-07,2020-12-20,2021-01-02
Gloucester,Essex,"28,406",1014,164,41.2,Red,Higher,28817,2863,178,6.22%,Higher,10078.72,2021-01-07,2020-12-20,2021-01-02
Goshen,Hampshire,"1,157",13,0,0.0,Grey,No Change,508,45,0,0.00%,No Change,3890.91,2021-01-07,2020-12-20,2021-01-02
Gosnold,Dukes,45,5,0,0.0,Grey,No Change,115,3,0,0.00%,No Change,6715.77,2021-01-07,2020-12-20,2021-01-02
Grafton,Worcester,"20,125",606,86,30.5,Red,Lower,23350,2077,108,5.20%,Lower,10320.55,2021-01-07,2020-12-20,2021-01-02
Granby,Hampshire,"6,112",187,38,44.4,Red,Higher,7024,617,42,6.81%,No Change,10094.22,2021-01-07,2020-12-20,2021-01-02
Granville,Hampden,"1,550",52,10,46.1,Grey,Higher,1349,109,11,10.09%,Higher,7033.72,2021-01-07,2020-12-20,2021-01-02
Great Barrington,Berkshire,"6,720",183,30,31.9,Red,Higher,16007,1325,30,2.26%,Higher,19716.90,2021-01-07,2020-12-20,2021-01-02
Greenfield,Franklin,"17,148",527,54,22.5,Yellow,Lower,21371,1873,61,3.26%,Higher,10922.24,2021-01-07,2020-12-20,2021-01-02
Groton,Middlesex,"11,690",252,40,24.4,Yellow,Higher,14522,912,45,4.93%,Higher,7801.64,2021-01-07,2020-12-20,2021-01-02
Groveland,Essex,"6,846",280,74,77.2,Red,Higher,6930,665,81,12.18%,Higher,9713.55,2021-01-07,2020-12-20,2021-01-02
Hadley,Hampshire,"5,804",163,44,54.2,Red,Lower,14247,931,56,6.02%,Higher,16041.32,2021-01-07,2020-12-20,2021-01-02
Halifax,Plymouth,"7,644",273,57,53.3,Red,Higher,6577,631,63,9.98%,Higher,8254.48,2021-01-07,2020-12-20,2021-01-02
Hamilton,Essex,"7,375",175,34,32.9,Red,Higher,8742,1381,36,2.61%,Higher,18725.08,2021-01-07,2020-12-20,2021-01-02
Hampden,Hampden,"4,898",246,34,49.6,Red,Higher,6263,676,35,5.18%,Higher,13802.84,2021-01-07,2020-12-20,2021-01-02
Hancock,Berkshire,641,12,0,0.0,Grey,Lower,179,17,0,0.00%,Lower,2653.35,2021-01-07,2020-12-20,2021-01-02
Hanover,Plymouth,"14,379",710,191,94.9,Red,Lower,13939,1776,206,11.60%,Lower,12350.96,2021-01-07,2020-12-20,2021-01-02
Hanson,Plymouth,"10,764",469,79,52.4,Red,Lower,9892,1128,93,8.24%,Higher,10479.24,2021-01-07,2020-12-20,2021-01-02
Hardwick,Worcester,"3,341",45,11,23.5,Green,Higher,2048,142,12,8.45%,Higher,4250.13,2021-01-07,2020-12-20,2021-01-02
Harvard,Worcester,"6,951",73,13,13.4,Green,Lower,5473,416,13,3.13%,No Change,5984.35,2021-01-07,2020-12-20,2021-01-02
Harwich,Barnstable,"12,589",350,55,31.2,Red,Higher,11009,1224,63,5.15%,Higher,9723.05,2021-01-07,2020-12-20,2021-01-02
Hatfield,Hampshire,"3,235",74,21,46.4,Yellow,Higher,3877,353,22,6.23%,Higher,10912.73,2021-01-07,2020-12-20,2021-01-02
Haverhill,Essex,"65,939",5023,750,81.2,Red,Lower,90129,8279,888,10.73%,Lower,12555.60,2021-01-07,2020-12-20,2021-01-02
Hawley,Franklin,284,0,0,0.0,Grey,No Change,83,14,0,0.00%,No Change,4924.55,2021-01-07,2020-12-20,2021-01-02
Heath,Franklin,588,5,0,0.0,Grey,No Change,396,28,1,3.57%,Higher,4760.39,2021-01-07,2020-12-20,2021-01-02
Hingham,Plymouth,"24,005",1005,197,58.6,Red,Higher,31889,4347,230,5.29%,Higher,18108.70,2021-01-07,2020-12-20,2021-01-02
Hinsdale,Berkshire,"2,127",23,7,23.5,Grey,Lower,2041,242,7,2.89%,Lower,11379.91,2021-01-07,2020-12-20,2021-01-02
Holbrook,Norfolk,"11,335",590,108,68.1,Red,Higher,11512,1055,120,11.37%,Higher,9307.62,2021-01-07,2020-12-20,2021-01-02
Holden,Worcester,"18,997",826,186,69.9,Red,Higher,24836,2268,204,8.99%,Higher,11938.60,2021-01-07,2020-12-20,2021-01-02
Holland,Hampden,"2,565",64,13,36.2,Green,Higher,2062,178,16,8.99%,Higher,6938.85,2021-01-07,2020-12-20,2021-01-02
Holliston,Middlesex,"13,726",442,82,42.7,Red,Higher,15988,1386,86,6.20%,Higher,10097.52,2021-01-07,2020-12-20,2021-01-02
Holyoke,Hampden,"40,638",3164,379,66.6,Red,Lower,62147,6265,470,7.50%,Higher,15416.48,2021-01-07,2020-12-20,2021-01-02
Hopedale,Worcester,"5,633",204,37,46.9,Red,Higher,6637,623,43,6.90%,Higher,11058.87,2021-01-07,2020-12-20,2021-01-02
Hopkinton,Middlesex,"16,382",441,71,31.0,Yellow,Higher,19355,1714,74,4.32%,Higher,10462.89,2021-01-07,2020-12-20,2021-01-02
Hubbardston,Worcester,"4,680",77,15,22.9,Green,Higher,4064,354,16,4.52%,Higher,7564.50,2021-01-07,2020-12-20,2021-01-02
Hudson,Middlesex,"21,060",967,178,60.4,Red,Higher,21954,1944,189,9.72%,Higher,9230.61,2021-01-07,2020-12-20,2021-01-02
Hull,Plymouth,"9,795",281,78,56.9,Red,Higher,8753,886,83,9.37%,Higher,9045.16,2021-01-07,2020-12-20,2021-01-02
Huntington,Hampshire,"2,200",53,5,16.2,Grey,Higher,2017,154,8,5.19%,Higher,6999.87,2021-01-07,2020-12-20,2021-01-02
Ipswich,Essex,"13,408",395,85,45.3,Red,Higher,14669,1627,93,5.72%,Higher,12134.54,2021-01-07,2020-12-20,2021-01-02
Kingston,Plymouth,"13,670",545,127,66.4,Red,Higher,16304,1724,136,7.89%,Higher,12611.17,2021-01-07,2020-12-20,2021-01-02
Lakeville,Plymouth,"11,368",456,88,55.3,Red,Lower,10500,993,94,9.47%,Higher,8735.07,2021-01-07,2020-12-20,2021-01-02
Lancaster,Worcester,"8,589",332,58,48.2,Red,Higher,8682,922,61,6.62%,Higher,10734.65,2021-01-07,2020-12-20,2021-01-02
Lanesborough,Berkshire,"3,024",70,17,40.2,Yellow,Higher,2782,317,18,5.68%,Higher,10481.71,2021-01-07,2020-12-20,2021-01-02
Lawrence,Essex,"87,731",14253,1608,130.9,Red,Higher,138537,10680,2111,19.77%,Higher,12173.57,2021-01-07,2020-12-20,2021-01-02
Lee,Berkshire,"5,830",181,50,61.3,Red,Lower,6198,745,74,9.93%,Higher,12778.40,2021-01-07,2020-12-20,2021-01-02
Leicester,Worcester,"11,264",619,93,59.0,Red,No Change,13666,1148,106,9.23%,Higher,10192.03,2021-01-07,2020-12-20,2021-01-02
Lenox,Berkshire,"4,833",145,19,28.1,Yellow,Higher,7413,901,21,2.33%,Higher,18643.54,2021-01-07,2020-12-20,2021-01-02
Leominster,Worcester,"40,377",3124,555,98.2,Red,Higher,49585,4858,613,12.62%,Higher,12031.73,2021-01-07,2020-12-20,2021-01-02
Leverett,Franklin,"2,026",21,<5,7.1,Grey,Lower,3169,234,3,1.28%,Lower,11548.94,2021-01-07,2020-12-20,2021-01-02
Lexington,Middlesex,"34,080",737,103,21.6,Yellow,Lower,37284,3318,128,3.86%,Higher,9735.85,2021-01-07,2020-12-20,2021-01-02
Leyden,Franklin,612,<5,0,0.0,Grey,No Change,179,12,0,0.00%,No Change,1961.95,2021-01-07,2020-12-20,2021-01-02
Lincoln,Middlesex,"8,697",119,23,18.9,Yellow,Higher,7864,728,33,4.53%,Higher,8370.88,2021-01-07,2020-12-20,2021-01-02
Littleton,Middlesex,"9,756",326,45,32.9,Red,Higher,11331,1108,47,4.24%,Higher,11356.62,2021-01-07,2020-12-20,2021-01-02
Longmeadow,Hampden,"15,406",703,133,61.7,Red,Lower,22558,2340,161,6.88%,Higher,15188.47,2021-01-07,2020-12-20,2021-01-02
Lowell,Middlesex,"116,143",11134,1281,78.8,Red,Lower,158654,14726,1495,10.15%,Lower,12679.21,2021-01-07,2020-12-20,2021-01-02
Ludlow,Hampden,"20,714",1184,220,75.9,Red,Lower,24815,2684,263,9.80%,Lower,12957.36,2021-01-07,2020-12-20,2021-01-02
Lunenburg,Worcester,"10,418",394,68,46.6,Red,Higher,10262,859,74,8.61%,Higher,8245.03,2021-01-07,2020-12-20,2021-01-02
Lynn,Essex,"100,824",11776,1406,99.6,Red,Lower,134280,11860,1735,14.63%,Higher,11763.04,2021-01-07,2020-12-20,2021-01-02
Lynnfield,Essex,"11,593",749,137,84.4,Red,Lower,17593,2149,152,7.07%,Lower,18536.58,2021-01-07,2020-12-20,2021-01-02
Malden,Middlesex,"67,654",4362,629,66.4,Red,Higher,89326,7869,746,9.48%,Higher,11631.18,2021-01-07,2020-12-20,2021-01-02
Manchester,Essex,"4,899",130,28,40.8,Red,Lower,6357,1171,29,2.48%,No Change,23901.20,2021-01-07,2020-12-20,2021-01-02
Mansfield,Bristol,"23,631",912,194,58.6,Red,Higher,24977,2383,209,8.77%,Higher,10084.39,2021-01-07,2020-12-20,2021-01-02
Marblehead,Essex,"19,036",770,148,55.5,Yellow,Higher,26853,3673,176,4.79%,Higher,19294.83,2021-01-07,2020-12-20,2021-01-02
Marion,Plymouth,"4,598",209,38,59.0,Red,Higher,11155,582,44,7.56%,Higher,12658.98,2021-01-07,2020-12-20,2021-01-02
Marlborough,Middlesex,"43,615",3110,401,65.7,Red,Higher,57293,4618,448,9.70%,Higher,10588.05,2021-01-07,2020-12-20,2021-01-02
Marshfield,Plymouth,"25,917",954,234,64.5,Red,Higher,22713,2222,246,11.07%,Higher,8573.39,2021-01-07,2020-12-20,2021-01-02
Mashpee,Barnstable,"15,535",332,75,34.5,Red,Higher,14488,1367,98,7.17%,Higher,8799.38,2021-01-07,2020-12-20,2021-01-02
Mattapoisett,Plymouth,"5,732",262,61,76.0,Red,Higher,6432,732,69,9.43%,Higher,12769.92,2021-01-07,2020-12-20,2021-01-02
Maynard,Middlesex,"10,406",338,65,44.6,Red,Higher,11750,909,71,7.81%,Higher,8735.03,2021-01-07,2020-12-20,2021-01-02
Medfield,Norfolk,"11,260",285,57,36.2,Yellow,No Change,15135,1455,63,4.33%,Higher,12921.48,2021-01-07,2020-12-20,2021-01-02
Medford,Middlesex,"60,761",3288,520,61.1,Red,Higher,168188,10573,588,5.56%,Higher,17400.99,2021-01-07,2020-12-20,2021-01-02
Medway,Norfolk,"13,067",408,50,27.3,Yellow,Higher,13827,1141,56,4.91%,Higher,8732.10,2021-01-07,2020-12-20,2021-01-02
Melrose,Middlesex,"28,989",1223,216,53.2,Red,Higher,45517,4391,251,5.72%,Higher,15147.11,2021-01-07,2020-12-20,2021-01-02
Mendon,Worcester,"5,774",176,20,24.7,Yellow,Higher,5405,388,24,6.19%,Higher,6719.33,2021-01-07,2020-12-20,2021-01-02
Merrimac,Essex,"6,353",232,53,59.6,Red,Higher,6824,714,60,8.40%,Higher,11239.29,2021-01-07,2020-12-20,2021-01-02
Methuen,Essex,"53,837",4909,703,93.3,Red,Lower,73605,7282,887,12.18%,Higher,13525.94,2021-01-07,2020-12-20,2021-01-02
Middleborough,Plymouth,"27,402",1082,199,51.9,Red,Higher,24945,2401,227,9.45%,Higher,8762.19,2021-01-07,2020-12-20,2021-01-02
Middlefield,Hampshire,444,5,0,0.0,Grey,Lower,200,10,0,0.00%,Lower,2253.93,2021-01-07,2020-12-20,2021-01-02
Middleton,Essex,"10,425",969,146,100.0,Red,Lower,13472,1634,157,9.61%,Lower,15673.30,2021-01-07,2020-12-20,2021-01-02
Milford,Worcester,"29,333",1898,192,46.8,Red,Lower,31237,2329,207,8.89%,Lower,7939.99,2021-01-07,2020-12-20,2021-01-02
Millbury,Worcester,"13,671",766,123,64.3,Red,Higher,14525,1343,141,10.50%,Higher,9823.96,2021-01-07,2020-12-20,2021-01-02
Millis,Norfolk,"7,866",244,51,46.3,Red,Higher,7931,671,53,7.90%,Higher,8530.10,2021-01-07,2020-12-20,2021-01-02
Millville,Worcester,"3,589",98,14,27.9,Green,Lower,2559,209,14,6.70%,No Change,5823.62,2021-01-07,2020-12-20,2021-01-02
Milton,Norfolk,"28,747",1353,238,59.1,Red,Higher,57835,5277,275,5.21%,No Change,18356.53,2021-01-07,2020-12-20,2021-01-02
Monroe,Franklin,97,<5,<5,73.4,Grey,Higher,62,7,1,14.29%,Higher,7197.45,2021-01-07,2020-12-20,2021-01-02
Monson,Hampden,"8,390",266,55,46.8,Red,Higher,7636,617,62,10.05%,Higher,7354.38,2021-01-07,2020-12-20,2021-01-02
Montague,Franklin,"8,453",155,28,23.7,Red,Lower,8784,687,29,4.22%,Higher,8127.43,2021-01-07,2020-12-20,2021-01-02
Monterey,Berkshire,926,14,<5,15.4,Grey,Higher,866,81,2,2.47%,Higher,8747.88,2021-01-07,2020-12-20,2021-01-02
Montgomery,Hampden,887,12,<5,24.2,Grey,Higher,245,21,3,14.29%,Higher,2368.52,2021-01-07,2020-12-20,2021-01-02
Mount Washington,Berkshire,131,0,0,0.0,Grey,No Change,44,3,0,0.00%,No Change,2284.01,2021-01-07,2020-12-20,2021-01-02
Nahant,Essex,"3,234",151,31,68.5,Red,Higher,5270,740,35,4.73%,Higher,22884.02,2021-01-07,2020-12-20,2021-01-02
Nantucket,Nantucket,"11,416",830,140,87.6,Red,Higher,16274,1621,142,8.76%,Higher,14199.66,2021-01-07,2020-12-20,2021-01-02
Natick,Middlesex,"36,016",1109,176,34.9,Yellow,Higher,47901,4207,193,4.59%,Higher,11680.95,2021-01-07,2020-12-20,2021-01-02
Needham,Norfolk,"29,234",926,153,37.4,Yellow,Higher,49013,4787,165,3.45%,Higher,16374.83,2021-01-07,2020-12-20,2021-01-02
New Ashford,Berkshire,176,<5,<5,81.2,Grey,Higher,96,13,2,15.38%,Higher,7389.63,2021-01-07,2020-12-20,2021-01-02
New Bedford,Bristol,"99,980",8511,1371,97.9,Red,Higher,114051,11302,1568,13.87%,Higher,11304.28,2021-01-07,2020-12-20,2021-01-02
New Braintree,Worcester,"1,061",22,8,53.8,Grey,Higher,757,55,8,14.55%,Higher,5182.72,2021-01-07,2020-12-20,2021-01-02
New Marlborough,Berkshire,"1,523",18,5,23.4,Grey,Higher,810,74,5,6.76%,Higher,4857.92,2021-01-07,2020-12-20,2021-01-02
New Salem,Franklin,975,8,0,0.0,Grey,Lower,877,55,0,0.00%,Lower,5639.98,2021-01-07,2020-12-20,2021-01-02
Newbury,Essex,"6,605",186,39,42.2,Red,Lower,8145,668,45,6.74%,Lower,10113.64,2021-01-07,2020-12-20,2021-01-02
Newburyport,Essex,"17,759",677,107,43.0,Yellow,Higher,25555,2665,120,4.50%,Higher,15006.65,2021-01-07,2020-12-20,2021-01-02
